order_id,customer_id,store_id,order_status,payment_method,order_timestamp,updated_at
ORD-00001,CUST-0131,STR-007,DELIVERED,Cash,2024-01-29 05:00:00,2024-01-29 05:00:00
ORD-00002,CUST-0050,STR-007,CANCELLED,PayPal,2024-02-07 02:00:00,2024-02-07 02:00:00
ORD-00003,CUST-0044,STR-008,CANCELLED,Cash,2024-02-08 09:00:00,2024-02-08 09:00:00
ORD-00004,CUST-0140,STR-006,CANCELLED,Cash,2024-02-05 11:00:00,2024-02-05 11:00:00
ORD-00005,CUST-0009,STR-008,COMPLETED,PayPal,2024-01-18 21:00:00,2024-01-18 21:00:00
ORD-00006,CUST-0189,STR-010,RETURNED,PayPal,2024-01-25 08:00:00,2024-01-25 08:00:00
ORD-00007,CUST-0083,STR-005,PROCESSING,Cash,2024-01-21 04:00:00,2024-01-21 04:00:00
ORD-00008,CUST-0071,STR-003,DELIVERED,UPI,2024-01-10 17:00:00,2024-01-10 17:00:00
ORD-00009,CUST-0132,STR-005,CANCELLED,UPI,2024-01-26 00:00:00,2024-01-26 00:00:00
ORD-00010,CUST-0118,STR-006,CANCELLED,Debit Card,2024-01-07 03:00:00,2024-01-07 03:00:00
ORD-00011,CUST-0196,STR-001,CANCELLED,Credit Card,2024-01-04 13:00:00,2024-01-04 13:00:00
ORD-00012,CUST-0001,STR-007,DELIVERED,UPI,2024-01-15 08:00:00,2024-01-15 08:00:00
ORD-00013,CUST-0014,STR-007,DELIVERED,PayPal,2024-01-22 09:00:00,2024-01-22 09:00:00
ORD-00014,CUST-0034,STR-010,CANCELLED,Credit Card,2024-01-17 02:00:00,2024-01-17 02:00:00
ORD-00015,CUST-0109,STR-003,DELIVERED,PayPal,2024-02-01 12:00:00,2024-02-01 12:00:00
ORD-00016,CUST-0077,STR-003,DELIVERED,Credit Card,2024-01-26 14:00:00,2024-01-26 14:00:00
ORD-00017,CUST-0161,STR-003,CANCELLED,Debit Card,2024-01-29 05:00:00,2024-01-29 05:00:00
ORD-00018,CUST-0032,STR-010,CANCELLED,UPI,2024-01-26 21:00:00,2024-01-26 21:00:00
ORD-00019,CUST-0185,STR-010,COMPLETED,UPI,2024-01-21 08:00:00,2024-01-21 08:00:00
ORD-00020,CUST-0014,STR-004,COMPLETED,Debit Card,2024-02-02 22:00:00,2024-02-02 22:00:00
ORD-00021,CUST-0140,STR-003,COMPLETED,Cash,2024-02-01 12:00:00,2024-02-01 12:00:00
ORD-00022,CUST-0016,STR-007,RETURNED,PayPal,2024-02-03 19:00:00,2024-02-03 19:00:00
ORD-00023,CUST-0063,STR-002,CANCELLED,Cash,2024-01-29 13:00:00,2024-01-29 13:00:00
ORD-00024,CUST-0182,STR-003,CANCELLED,UPI,2024-01-02 15:00:00,2024-01-02 15:00:00
ORD-00025,CUST-0110,STR-005,PROCESSING,Cash,2024-02-04 12:00:00,2024-02-04 12:00:00
ORD-00026,CUST-0015,STR-008,PROCESSING,Debit Card,2024-02-07 15:00:00,2024-02-07 15:00:00
ORD-00027,CUST-0004,STR-004,PROCESSING,PayPal,2024-01-05 01:00:00,2024-01-05 01:00:00
ORD-00028,CUST-0064,STR-007,COMPLETED,Cash,2024-01-22 18:00:00,2024-01-22 18:00:00
ORD-00029,CUST-0018,STR-008,PROCESSING,Credit Card,2024-01-20 19:00:00,2024-01-20 19:00:00
ORD-00030,CUST-0140,STR-004,CANCELLED,Credit Card,2024-01-11 10:00:00,2024-01-11 10:00:00
ORD-00031,CUST-0001,STR-007,DELIVERED,Cash,2024-01-21 13:00:00,2024-01-21 13:00:00
ORD-00032,CUST-0134,STR-007,COMPLETED,Cash,2024-01-26 00:00:00,2024-01-26 00:00:00
ORD-00033,CUST-0101,STR-002,COMPLETED,PayPal,2024-02-09 04:00:00,2024-02-09 04:00:00
ORD-00034,CUST-0189,STR-006,PROCESSING,Debit Card,2024-01-23 00:00:00,2024-01-23 00:00:00
